"Cantidad de buses",Hora
1,"22-01-2018 06:01"
1,"22-01-2018 07:01"
1,"22-01-2018 08:01"
1,"22-01-2018 09:01"
1,"22-01-2018 16:01"
1,"22-01-2018 17:01"
1,"22-01-2018 18:01"
1,"22-01-2018 19:01"
1,"23-01-2018 05:01"
2,"23-01-2018 06:01"
1,"23-01-2018 07:01"
1,"23-01-2018 09:01"
2,"23-01-2018 10:01"
2,"23-01-2018 12:01"
1,"23-01-2018 13:01"
1,"23-01-2018 14:01"
2,"23-01-2018 16:01"
2,"23-01-2018 17:01"
1,"23-01-2018 18:01"
1,"23-01-2018 19:01"
1,"23-01-2018 20:01"
2,"24-01-2018 05:01"
3,"24-01-2018 06:01"
3,"24-01-2018 07:01"
2,"24-01-2018 08:01"
2,"24-01-2018 09:01"
3,"24-01-2018 10:01"
3,"24-01-2018 11:01"
2,"24-01-2018 12:01"
3,"24-01-2018 13:01"
2,"24-01-2018 14:01"
9,"24-01-2018 15:01"
6,"24-01-2018 16:01"
1,"24-01-2018 17:01"
6,"24-01-2018 18:01"
3,"24-01-2018 19:01"
1,"24-01-2018 20:01"
2,"24-01-2018 21:01"
2,"25-01-2018 04:01"
6,"25-01-2018 05:01"
7,"25-01-2018 06:01"
5,"25-01-2018 07:01"
5,"25-01-2018 08:01"
1,"25-01-2018 09:01"
4,"25-01-2018 10:01"
4,"25-01-2018 11:01"
1,"25-01-2018 12:01"
2,"25-01-2018 13:01"
2,"25-01-2018 14:01"
6,"25-01-2018 15:01"
5,"25-01-2018 16:01"
3,"25-01-2018 17:01"
5,"25-01-2018 18:01"
6,"25-01-2018 19:01"
1,"25-01-2018 20:01"
1,"25-01-2018 21:01"
2,"25-01-2018 22:01"
76,"25-01-2018 23:01"
116,"26-01-2018 00:01"
69,"26-01-2018 01:01"
65,"26-01-2018 02:01"
134,"26-01-2018 03:01"
413,"26-01-2018 04:01"
721,"26-01-2018 05:01"
873,"26-01-2018 06:01"
925,"26-01-2018 07:01"
855,"26-01-2018 08:01"
784,"26-01-2018 09:01"
790,"26-01-2018 10:01"
767,"26-01-2018 11:01"
771,"26-01-2018 12:01"
757,"26-01-2018 13:01"
766,"26-01-2018 14:01"
811,"26-01-2018 15:01"
888,"26-01-2018 16:01"
894,"26-01-2018 17:01"
901,"26-01-2018 18:01"
823,"26-01-2018 19:01"
636,"26-01-2018 20:01"
488,"26-01-2018 21:01"
380,"26-01-2018 22:01"
256,"26-01-2018 23:01"
125,"27-01-2018 00:01"
90,"27-01-2018 01:01"
58,"27-01-2018 02:01"
90,"27-01-2018 03:01"
252,"27-01-2018 04:01"
465,"27-01-2018 05:01"
610,"27-01-2018 06:01"
678,"27-01-2018 07:01"
644,"27-01-2018 08:01"
656,"27-01-2018 09:01"
645,"27-01-2018 10:01"
150,"27-01-2018 11:01"
